
사업자_기본정보(주유소)

기준 : 일간(20170202) 영업중인 업체
고유번호,지역,상호,상표,주소,전화번호,셀프여부
A0000686,서울 은평구,SK네트웍스(주)은평드림주유소,SK에너지, 서울특별시 은평구 통일로 1151 (진관동),02-354-5182,일반,
A0000683,서울 은평구,대성산업(주)대성주유소,GS칼텍스,서울 은평구 통일로 642 (녹번동),02-355-3434,일반,
A0000631,서울 은평구,녹번주유소,GS칼텍스,서울특별시 은평구  통일로 600 (녹번동),02-385-5002,일반,
A0000589,서울 마포구,서강주유소,SK에너지,서울 마포구 독막로 134 (창전동),02-338-2886,일반,
A0000164,서울 마포구,망원동주유소,SK에너지,서울 마포구 월드컵로 119 (망원동),02-334-0917,일반,
A0000169,서울 마포구,성산대교(해월),SK에너지,서울 마포구 성산로 144 (성산동),02-323-0078,일반,
A0000139,서울 마포구,성산주유소,SK에너지,서울 마포구 월드컵북로 170 (성산동),02-373-3314,일반,
A0000172,서울 마포구,합정주유소,SK에너지,서울 마포구 양화로 13 (합정동),02-336-3276,일반,
A0000115,서울 마포구,안국주유소,SK에너지,서울 마포구 양화로 33 (합정동),02-334-8030,일반,
A0000159,서울 마포구,청원주유소,S-OIL,서울 마포구 월드컵북로 113 (성산동),02-325-5533,일반,
A0000173,서울 마포구,Happy Auto,SK에너지,서울 마포구 서강로 76 (창전동),02-336-5185,일반,
A0032673,서울 마포구,용강주유소,S-OIL,서울특별시 마포구  토정로 260 (용강동),070-7795-4800,일반,
A0000163,서울 마포구,(주)만성상사(대흥),SK에너지,서울 마포구 대흥로 61 (대흥동),02-3273-5151,일반,
A0000182,서울 마포구,(주)승지 염리동주유소,현대오일뱅크,서울특별시 마포구 백범로 126(염리동),02-716-3644,일반,
A0000129,서울 마포구,양지주유소,SK에너지,서울 마포구 마포대로 69 (도화동),02-706-8955,일반,
A0000120,서울 마포구,마포주유소,S-OIL,서울 마포구 마포대로 186 (공덕동),02-701-3990,일반,
A0000230,서울 용산구,강변주유소,SK에너지,서울특별시 용산구  원효로 9 (청암동),02-712-7124,일반,
A0000245,서울 용산구,(주)신태성주유소,SK에너지,서울 용산구 원효로 147 (원효로3가),02-701-9447,일반,
A0000225,서울 용산구,(주)영원 풍기주유소,GS칼텍스,서울 용산구 원효로 178 (원효로2가),02-719-2202,일반,
A0000212,서울 용산구,용일주유소,GS칼텍스,서울특별시 용산구  한강대로 37 (한강로3가),02-793-7111,일반,
A0000235,서울 용산구,(주)한독모터스용산뉴타운주유소,GS칼텍스,서울 용산구 한강대로 48 (한강로3가),02-796-4635,일반,
A0000221,서울 용산구,한국석유공업(주),SK에너지,서울 용산구 이촌로 164 (이촌동),02-799-3160,일반,
A0000240,서울 용산구,(주)서강유업소월길주유소,SK에너지,서울 용산구 소월로 66 (후암동),02-318-3314,일반,
A0000925,서울 용산구,서계주유소,GS칼텍스,서울특별시 용산구  청파로 367 (서계동),02-706-6485,일반,
A0000231,서울 용산구,청파주유소,SK에너지,서울특별시 용산구  청파로 311 (청파동1가),02-701-9130,일반,
A0000232,서울 용산구,갈월동주유소,SK에너지,서울특별시 용산구  한강대로 322 (갈월동),02-754-5217,일반,
A0000223,서울 용산구,동자동 주유소,SK에너지,서울 용산구 한강대로104길 6 (동자동),02-754-9843,일반,
A0000238,서울 용산구,한남지점,SK에너지,서울 용산구 한남대로21길 4 (한남동),02-793-0162,일반,
A0000228,서울 용산구,에너비스,SK에너지,서울 용산구 한남대로21길 4 (한남동),02-795-8484,일반,
A0000202,서울 용산구,수림석유 제3한강주유소,GS칼텍스,서울특별시 용산구  한남대로 45 (한남동),02-795-3180,일반,
A0000206,서울 용산구,(주)남경주유소,SK에너지,서울 용산구 녹사평대로11길 24 (서빙고동),02-793-2954,일반,
A0000229,서울 용산구,흥국주유소,SK에너지,서울 용산구 한남대로 204 (한남동),02-795-0802,일반,
A0000427,서울 영등포구,SK네트윅스(주)윈윈주유소,SK에너지,서울 영등포구 가마산로 379 (대림동),02-847-5151,일반,
A0000290,서울 영등포구,대일주유소,현대오일뱅크,서울 영등포구 영등포로 168,02-2068-8700,일반,
A0001034,서울 영등포구,도림주유소,알뜰주유소,서울 영등포구 도림로 343 (도림동),02-835-8881,셀프,
A0000261,서울 영등포구,모드니주유소,GS칼텍스,서울 영등포구 경인로 789 (문래동3가),02-2637-7788,일반,
A0000443,서울 영등포구,성락주유소,S-OIL,서울 영등포구 가마산로 414 (신길동),02-842-6148,셀프,
A0000310,서울 영등포구,남부(영등포),SK에너지,서울 영등포구 경인로 822 (영등포동),02-2678-0503,일반,
A0000588,서울 영등포구,대영주유소,GS칼텍스,서울 영등포구 국회대로 632 (영등포동7가),02-2672-1152,셀프,
A0000408,서울 영등포구,행촌주유소,SK에너지,서울 영등포구 도신로 130 (신길동),070-4219-5189,일반,
A0000270,서울 영등포구,한일주유소,SK에너지,서울 영등포구 도림로 486 (문래동3가),02-2679-1794,일반,
A0000305,서울 영등포구,삼미상사(주)영등포주유소,SK에너지,서울 영등포구 선유로 114 (양평동1가),02-2633-2181,일반,
A0000279,서울 영등포구,양평주유소,GS칼텍스,서울 영등포구 양평로 141 (양평동5가),02-2671-5223,일반,
A0000309,서울 영등포구,양평주유소,SK에너지,서울 영등포구 선유로 195 (양평동3가),02-2633-1013,셀프,
A0000276,서울 영등포구,대지주유소,SK에너지,서울 영등포구 영등포로 115 (당산동2가),02-2633-3543,일반,
A0000444,서울 영등포구,(주)대청에너지 대청주유소,GS칼텍스,서울 영등포구 가마산로 328 (대림동),02-841-8780,일반,
A0000292,서울 영등포구,화일주유소,GS칼텍스,서울특별시 영등포구  도림로 415 (문래동2가),02-2633-5546,일반,
A0000400,서울 영등포구,(주)MS주유소,현대오일뱅크, 서울특별시 영등포구 대림로 230,02-849-5577,일반,
A0000323,서울 영등포구,(주)한미석유 제2한강주유소,GS칼텍스,서울 영등포구 선유로 260 (양평동4가),02-2633-2716,셀프,
A0000327,서울 영등포구,SK네트웍스(주)직영기린주유소,SK에너지,서울 영등포구 선유로 270 (양평동4가),02-2671-5182,셀프,
A0000442,서울 영등포구,씨앤에스유통 한성주유소,S-OIL,서울특별시 영등포구  여의대방로 227 (신길동),02-849-5180,일반,
A0000316,서울 영등포구,SJ상사 여의도주유소,GS칼텍스,서울 영등포구 은행로 64 (여의도동),02-3775-0976,일반,
A0000312,서울 영등포구,SK네트웍스직영여의도주유소,SK에너지,서울 영등포구 의사당대로 154 (여의도동),02-780-3466,일반,
A0000328,서울 영등포구,세일석유(주)경일주유소,S-OIL,서울특별시 영등포구  국회대로 746 (여의도동),02-761-5122,일반,
A0000293,서울 영등포구,SK여명주유소,SK에너지,서울특별시 영등포구  국회대로 62길 7 (여의도동 KBS후문),02-782-5111,일반,
A0000431,서울 영등포구,SK네트웍스신길동주유소,SK에너지,서울 영등포구 영등포로 348 (신길동),02-843-0481,일반,
A0000370,서울 영등포구,매봉주유소,현대오일뱅크,서울 영등포구 도신로 248 (신길동),02-836-8851,일반,
A0000433,서울 영등포구,한경석유(주)경덕주유소,SK에너지,서울 영등포구 여의대방로23길 2 (신길동),02-843-3900,일반,
A0000308,서울 영등포구,KH여의도주유소,SK에너지,서울 영등포구 국회대로 794 (여의도동),02-761-5101,일반,
A0000346,서울 영등포구,보라주유소,GS칼텍스,서울특별시 영등포구  영등포로 399 (신길동),02-842-1155,일반,
A0000287,서울 영등포구,버드나룻길주유소,SK에너지,서울 영등포구 버드나루로 111 (당산동),02-2634-5104,일반,
A0000407,서울 영등포구,대영주유소,자가상표, 서울특별시 영등포구 신길로 29,02-849-3377,일반,
A0000421,서울 영등포구,(주)강서오일,현대오일뱅크,서울 영등포구 도신로 151 (도림동),02-832-1700,일반,
A0000324,서울 영등포구,성원이엔에스(주)영등포지점,GS칼텍스,서울 영등포구 국회대로 665 (영등포동7가),02-2635-7781,일반,
A0000410,서울 영등포구,신길주유소,GS칼텍스,서울특별시 영등포구 신길로 74,02-833-1113,셀프,
A0000304,서울 영등포구,선익개발영등포주유소,SK에너지,서울 영등포구 경인로114길 2 (영등포동1가),02-2678-1332,일반,
A0000428,서울 동작구,21세기주유소,SK에너지,서울 동작구 시흥대로 616 (신대방동),02-832-7926,셀프,
A0000371,서울 동작구,대방주유소,GS칼텍스,서울 동작구 여의대방로 214 (대방동),02-826-5145,일반,
A0000385,서울 동작구,서경주유소,현대오일뱅크,서울 동작구 대림로 46 (신대방동),02-843-5130,일반,
A0000439,서울 동작구,(주)서우유통에너지,S-OIL,서울특별시 동작구  노량진로 78 (노량진동),02-821-7009,일반,
A0009553,서울 동작구,매일주유소,S-OIL,서울특별시 동작구  상도로 139 (상도동),02-817-4085,일반,
A0000434,서울 동작구,대성산업(주) 노량진주유소,GS칼텍스,서울 동작구 노량진로 172 (노량진동),02-815-2354,일반,
A0000368,서울 동작구,금성주유소,현대오일뱅크,서울특별시 동작구  사당로 59 (상도동),02-825-5151,일반,
A0000430,서울 동작구,흑석동,SK에너지,서울 동작구 현충로 101 (흑석동),02-815-0724,셀프,
A0000379,서울 동작구,살피재주유소,SK에너지,서울특별시 동작구  상도로 334 (상도동),02-817-2559,일반,
A0000425,서울 동작구,현대오일뱅크 동작주유소,현대오일뱅크,서울특별시 동작구  상도로 403 (상도동),02-817-9179,일반,
A0000426,서울 동작구,현대오일뱅크(주)직영 사당셀프주유소,현대오일뱅크,서울특별시 동작구  동작대로 73 (사당동),02-521-3618,셀프,
A0000411,서울 동작구,남성주유소,GS칼텍스,서울특별시 동작구  동작대로 135 (사당동),02-532-0606,셀프,
A0009725,서울 강남구,현대오일뱅크(주),현대오일뱅크,서울 강남구 도산대로 163,02-546-2182,일반,
A0009715,서울 강남구,(주)새서울석유,현대오일뱅크,서울 강남구 압구정로 154 (신사동),02-543-1154,일반,
A0009710,서울 강남구,논현주유소,SK에너지,서울 강남구 논현로 747 (논현동),02-511-0955,일반,
A0009705,서울 강남구,대교주유소,SK에너지,서울 강남구 강남대로 640 (신사동),02-512-5521,일반,
A0001185,서울 강남구,GS칼텍스 은마주유소,GS칼텍스,서울 강남구 영동대로 235 (대치동),02-565-6575,일반,
A0001203,서울 강남구,동일석유(주)대치동셀프주유소,SK에너지,서울 강남구 영동대로 202 (대치동),02-566-3037,셀프,
A0001225,서울 강남구,대성석유(주)동호주유소,GS칼텍스,서울특별시 강남구  봉은사로113길 51 (삼성동),02-545-0720,일반,
